"Close Date","Account Name","Lead Source Category","Opportunity Name","Fiscal Period","Opportunity Owner","Next Step","Type","Monthly Gross Profit","Age","Appraisal Start Date","Total Value","Referral Partner"
"2/9/2021","Packlane","Inbound","Packlane","Q1-2021","Universal Sales Rep","","Commercial Velocity - New Business","7166","69.0000000000","","28664.00",""
"2/9/2021","Life Extensions","Channel Partner","Life Extension","Q1-2021","Corey Eulas","","Strategic Accounts - New Business","8953","102.0000000000","","53718.00","Devin S Test Keller"
"2/9/2021","Anti-Acne Club","Inbound","Anti-Acne Club","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","9459","6.0000000000","","113508.00",""
"2/10/2021","Rush Cycle","Channel Partner","Rush Cycle Boca Raton","Q1-2021","Jeff Mason","","Commercial Velocity - New Business","7548","0.0000000000","","7548.00",""
"2/10/2021","Cleer Audio","Channel Partner","Cleer Audio","Q1-2021","Brittany Arnold","","Commercial Velocity - New Business","12899","68.0000000000","","154788.00",""
"2/10/2021","Blade & Rose","Channel Partner","Blade & Rose","Q1-2021","Jake Mehani","","Commercial Velocity - New Business","14332","2.0000000000","","57328.00","Devin S Test Keller"
"2/11/2021","Little By Little","Outbound","Little By Little","Q1-2021","Universal Sales Rep","","Commercial Velocity - New Business","13900","65.0000000000","","13900.00",""
"2/11/2021","Vessel Health","Outbound","Vessel Health","Q1-2021","Jeff Mason","","Rapid Growth Brands - New Business","14200","0.0000000000","","42600.00",""
"2/11/2021","Hungry Harvest","Inbound","Hungry Harvest","Q1-2021","Kira Tirshfield","","Brand Strategy - New Business","9459","55.0000000000","","75672.00",""
"2/12/2021","Cerebral","Inbound","Cerebral","Q1-2021","Jake Mehani","","Commercial Velocity - New Business","14189","0.0000000000","","42567.00",""
"2/16/2021","VEGAMOUR","Channel Partner","Vegamour","Q1-2021","Mike Iaco","","CV Strategic","9392","0.0000000000","","9392.00","Devin S Test Keller"
"2/16/2021","Home Advisor","Channel Partner","Homeadvisor","Q1-2021","Corey Eulas","","Strategic Accounts - New Business","9310","116.0000000000","","27930.00",""
"2/17/2021","Tim McGarry","Channel Partner","Tim McGarry","Q1-2021","Alex Serna","","Commercial Velocity - New Business","2867","2.0000000000","","8601.00","Devin S Test Keller"
