"Account Name","Opportunity Name","Fiscal Period","Next Step","Type","Deal Velocity","Monthly Deal Value (Gross Profit)","Age","Appraisal Start Date","Close Date","Opportunity Owner","Lead Source Category"
"Oral Genome","Oral Genome","Q1-2021","","Commercial Velocity - New Business","20.00","20065","20.0000000000","","1/12/2021","Alex Serna","Inbound"
"Blendily","Blendily","Q1-2021","","Commercial Velocity - New Business","72.00","1000","72.0000000000","","1/31/2021","Alex Serna","Other"
"UVé Pro Inc","Uve Pro","Q1-2021","","Commercial Velocity - New Business","-307.00","10000","0.0000000000","","1/1/2021","Alex Serna","Outbound"
"Elevated trading","Elevated Trading","Q1-2021","","Commercial Velocity - New Business","80.00","1000","80.0000000000","","1/31/2021","Alex Serna","Outbound"
"Porch Apothecary","Porch Apothecary","Q1-2021","","Commercial Velocity - New Business","84.00","1000","84.0000000000","","1/1/2021","Alex Serna","Outbound"
"Miyoko's Creamery","Miyokos Website Redesign","Q1-2021","","Commercial Velocity - New Business","136.00","5000","136.0000000000","","1/31/2021","Alex Serna","Outbound"
"Pulp Pantry","Pulp Pantry","Q1-2021","","Commercial Velocity - New Business","246.00","1000","246.0000000000","","1/29/2021","Alex Serna","Outbound"
"Haylie Pomroy","Haylie Pomroy-","Q1-2021","","Commercial Velocity - New Business","18.00","11944","18.0000000000","","1/26/2021","Brittany Arnold","Channel Partner"
"Ambreesh","Ambreesh Cosmetics","Q1-2021","","Commercial Velocity - New Business","35.00","8122","35.0000000000","","1/14/2021","Brittany Arnold","Inbound"
"JuneShine","Juneshine","Q1-2021","","Commercial Velocity - New Business","154.00","15000","154.0000000000","","1/31/2021","Connor Sanner","Inbound"
"Meatless Farms","Meatless Farms","Q1-2021","","Private Equity - Marketing Deal","11.00","22716","11.0000000000","","1/18/2021","Connor Sanner","Outbound"
"Herve Ledger","Herve Ledger","Q1-2021","","Commercial Velocity - New Business","169.00","1000","169.0000000000","","1/1/2021","Connor Sanner","Outbound"
"Allivet","Allivet","Q1-2021","","Commercial Velocity - New Business","233.00","5000","641.0000000000","","1/1/2021","Connor Sanner","Outbound"
"Osceola Capital Management LLC","Revelation Pharmacy","Q1-2021","","Strategic Accounts - New Business","-5.00","4038","0.0000000000","","1/20/2021","Corey Eulas","Channel Partner"
"Course Report","Course Report","Q1-2021","","Strategic Accounts - New Business","0.00","12103","0.0000000000","","1/7/2021","Corey Eulas","Channel Partner"
"Pool Calculator","Pool Calculator (Content Project - 2021)","Q1-2021","","Strategic Accounts - New Business","14.00","12000","14.0000000000","","1/1/2021","Corey Eulas","Channel Partner"
"XO Group","XO Group (Wedding Wire)","Q1-2021","","Strategic Accounts - New Business","31.00","55860","31.0000000000","","1/18/2021","Corey Eulas","Channel Partner"
"Silver Lake","SilverLake Due Diligence","Q1-2021","","Strategic Accounts - New Business","63.00","40000","63.0000000000","","1/1/2021","Corey Eulas","Channel Partner"
"Bally","Bally","Q1-2021","","Strategic Accounts - New Business","76.00","8192","76.0000000000","","1/14/2021","Corey Eulas","Channel Partner"
"Laura Moon Ref","Alloy","Q1-2021","","Strategic Accounts - New Business","88.00","19487","88.0000000000","","1/26/2021","Corey Eulas","Channel Partner"
"ThriveWorks","ThriveWorks","Q1-2021","","Strategic Accounts - New Business","91.00","30000","499.0000000000","","1/1/2021","Corey Eulas","Channel Partner"
"Alma","Alma","Q1-2021","","Strategic Accounts - New Business","102.00","7000","102.0000000000","","1/1/2021","Corey Eulas","Channel Partner"
"MercerAdvisors","MercerAdvisors","Q1-2021","","Strategic Accounts - New Business","119.00","15000","119.0000000000","","1/1/2021","Corey Eulas","Channel Partner"
"Key Path","KeyPath Education (SEO, Content, Links, PPC)","Q1-2021","","Strategic Accounts - New Business","188.00","16427","188.0000000000","","1/5/2021","Hans Tveten","Channel Partner"
"Peatos - Snack It Forward","Peatos - Snack It Forward - Paid Social Full Service","Q1-2021","","Rapid Growth Brands - New Business","1.00","8750","1.0000000000","","1/19/2021","Jake Mehani","Channel Partner"
"Casper","Casper","Q1-2021","","Strategic Accounts - New Business","-6.00","25670","0.0000000000","","1/7/2021","Jeff Mason","Channel Partner"
"Skylar Fragrances","Skylar Fragrances","Q1-2021","","Rapid Growth Brands - New Business","-8.00","13333","0.0000000000","","1/11/2021","Jeff Mason","Outbound"
"Rain + Bow","Rain + Bow (Social Method)","Q1-2021","","Rapid Growth Brands - New Business","0.00","13333","0.0000000000","","1/18/2021","Jeff Mason","Outbound"
"Three Ships Beauty","Three Ships Beauty","Q1-2021","","Brand Strategy - New Business","0.00","7644","0.0000000000","","1/13/2021","Kira Tirshfield","Channel Partner"
"R6 Distillery","R6 Distillery","Q1-2021","","Brand Strategy - New Business","27.00","9460","27.0000000000","","1/18/2021","Kira Tirshfield","Channel Partner"
"Compostic","Compostic","Q1-2021","","Brand Strategy - New Business","98.00","6688","98.0000000000","","1/6/2021","Kira Tirshfield","Channel Partner"
"Savor","Savor Beauty PR","Q1-2021","","Brand Strategy - New Business","-1.00","7548","0.0000000000","","1/18/2021","Kira Tirshfield","Inbound"
"Rishi Tea","Rishi Tea & Botanicals","Q1-2021","","Brand Strategy - New Business","2.00","9555","2.0000000000","","1/6/2021","Kira Tirshfield","Inbound"
"Tattooed Chef","Tattooed Chef","Q1-2021","","Brand Strategy - New Business","44.00","8321","44.0000000000","","1/28/2021","Kira Tirshfield","Inbound"
"Kyla Hard Kombucha","Kyla","Q1-2021","","Brand Strategy - New Business","52.00","9800","52.0000000000","","1/22/2021","Kira Tirshfield","Inbound"
"WTHN","WTHN","Q1-2021","","Brand Strategy - New Business","57.00","9555","57.0000000000","","1/15/2021","Kira Tirshfield","Inbound"
"Cirkul","Cirkul","Q1-2021","","Brand Strategy - New Business","60.00","14700","60.0000000000","","1/1/2021","Kira Tirshfield","Inbound"
"White Oak Farm and Table","White Oak farm and Table","Q1-2021","","Brand Strategy - New Business","72.00","9800","72.0000000000","","1/1/2021","Kira Tirshfield","Inbound"
"Bonafide","Bonafide","Q1-2021","","Brand Strategy - New Business","72.00","9555","72.0000000000","","1/31/2021","Kira Tirshfield","Inbound"
"Deux","Deux","Q1-2021","","Brand Strategy - New Business","80.00","4682","80.0000000000","","1/22/2021","Kira Tirshfield","Inbound"
"Bellwether Coffee","Bellwether Coffee","Q1-2021","","Brand Strategy - New Business","84.00","14332","84.0000000000","","1/18/2021","Kira Tirshfield","Inbound"
"Glacce","Glacce","Q1-2021","","Brand Strategy - New Business","90.00","9088","90.0000000000","","1/31/2021","Kira Tirshfield","Inbound"
"Oceanside Health Products","Oceanside Health Products","Q1-2021","","Brand Strategy - New Business","98.00","9413","98.0000000000","","1/15/2021","Kira Tirshfield","Inbound"
"Diageo, Inc","Seedlip","Q1-2021","","Brand Strategy - New Business","99.00","9413","99.0000000000","","1/15/2021","Kira Tirshfield","Inbound"
"Ello Products","Ello Products","Q1-2021","","Brand Strategy - New Business","100.00","9413","100.0000000000","","1/1/2021","Kira Tirshfield","Inbound"
"Beekeepers Naturals Inc","Beekeeper's Natural","Q1-2021","","Brand Strategy - New Business","113.00","9413","113.0000000000","","1/15/2021","Kira Tirshfield","Inbound"
"Finless Foods Inc","Finless Foods","Q1-2021","","Brand Strategy - New Business","130.00","9413","130.0000000000","","1/31/2021","Kira Tirshfield","Inbound"
"Taste It Wines","In Good Taste","Q1-2021","","Brand Strategy - New Business","144.00","7024","144.0000000000","","1/15/2021","Kira Tirshfield","Inbound"
"Owls Brew","Owl's Brew","Q1-2021","","Brand Strategy - New Business","-6.00","7500","0.0000000000","","1/1/2021","Kira Tirshfield","Outbound"
"Awkward Essentials","Awkward Essentials","Q1-2021","","Brand Strategy - New Business","2.00","14237","2.0000000000","","1/15/2021","Kira Tirshfield","Outbound"
"Heluxo","Heluxo","Q1-2021","","Rapid Growth Brands - New Business","1.00","1000","1.0000000000","","1/8/2021","Matt Levitt","Inbound"
"Jumpcode Genomics","Jumpcode Genomics","Q1-2021","","Commercial Velocity - New Business","34.00","5000","34.0000000000","","1/21/2021","Matt Levitt","Inbound"
"D-Mak Productions","D-MAK Productions","Q1-2021","","Commercial Velocity - New Business","36.00","5000","36.0000000000","","1/7/2021","Matt Levitt","Inbound"
"Dappr Digital","Dappr Digital","Q1-2021","","Commercial Velocity - New Business","91.00","5000","91.0000000000","","1/13/2021","Matt Levitt","Inbound"
"Moss.earth","Moss","Q1-2021","","Commercial Velocity - New Business","67.00","6000","67.0000000000","","1/11/2021","Matt Levitt","Outbound"
"OtterBox","Otter","Q1-2021","","Commercial Velocity - New Business","5.00","5000","5.0000000000","","1/15/2021","Pat Kreidler","Channel Partner"
"Herbaly","Herbaly-","Q1-2021","","Commercial Velocity - New Business","6.00","7355","6.0000000000","","1/21/2021","Pat Kreidler","Channel Partner"
"Pure Ratios Holdings, Inc.","Pure Ratios","Q1-2021","","Commercial Velocity - New Business","41.00","30000","41.0000000000","","1/20/2021","Pat Kreidler","Channel Partner"
"The Jel Sert Company","JelSert - PureKick","Q1-2021","","Commercial Velocity - New Business","42.00","9555","42.0000000000","","1/15/2021","Pat Kreidler","Channel Partner"
"Nade Hot Sauce","Nade","Q1-2021","","Commercial Velocity - New Business","48.00","1000","48.0000000000","","1/1/2021","Pat Kreidler","Channel Partner"
"Projekt202","Projekt202","Q1-2021","","Commercial Velocity - New Business","165.00","16643","573.0000000000","","1/1/2021","Pat Kreidler","Channel Partner"
"ERA Athletica","ERA Athletica","Q1-2021","","Commercial Velocity - New Business","30.00","15000","424.0000000000","","1/15/2021","Pat Kreidler","Inbound"
"Clarus","Clarus","Q1-2021","","Commercial Velocity - New Business","44.00","6688","44.0000000000","","1/21/2021","Pat Kreidler","Inbound"
"Fresh Clean Tees","Fresh Clean Tees","Q1-2021","","Commercial Velocity - New Business","46.00","4333","46.0000000000","","1/29/2021","Pat Kreidler","Inbound"
"Printivity","Printivity","Q1-2021","","Commercial Velocity - New Business","47.00","5500","47.0000000000","","1/1/2021","Pat Kreidler","Inbound"
"PRR Program","PRR Program","Q1-2021","","Commercial Velocity - New Business","155.00","7500","155.0000000000","","1/15/2021","Pat Kreidler","Inbound"
"Brooklyn Brewing","Brooklyn Brewing","Q1-2021","","Commercial Velocity - New Business","57.00","4000","57.0000000000","","1/1/2021","Pat Kreidler","Outbound"
"Hoffmann Sausages","Hoffmann Sausages","Q1-2021","","Commercial Velocity - New Business","70.00","1000","478.0000000000","","1/1/2021","Pat Kreidler","Outbound"
"The Jel Sert Company","SLIQ (Marketing Retainer)","Q1-2021","","Commercial Velocity - New Business","83.00","3894","83.0000000000","","1/28/2021","Pat Kreidler","Outbound"
"Snacklins","Snacklins - Creative Opportunity","Q1-2021","","Commercial Velocity - New Business","135.00","3500","543.0000000000","","1/1/2021","Pat Kreidler","Outbound"
"Los Angeles Chargers","Los Angeles Chargers","Q1-2021","","Commercial Velocity - New Business","316.00","10000","724.0000000000","","1/1/2021","Pat Kreidler","Outbound"
"prioritybicycles","Priority Bicycles","Q1-2021","","Private Equity - Diligence","3.00","13900","3.0000000000","","1/6/2021","Pierre Le Veaux","Outbound"
"Equate Media","Equate Media","Q1-2021","","Private Equity - Diligence","67.00","10000","67.0000000000","","1/1/2021","Pierre Le Veaux","Outbound"
"Windsor","Windsor","Q1-2021","","Private Equity - Diligence","67.00","10000","67.0000000000","","1/1/2021","Pierre Le Veaux","Outbound"
"IMB PARTNERS","IMB Partners nova/PR","Q1-2021","","Private Equity - Diligence","133.00","10000","133.0000000000","","1/1/2021","Pierre Le Veaux","Outbound"
"Grillo's Pickles","Grillo's Pickles","Q1-2021","","Brand Strategy - New Business","46.00","9800","46.0000000000","","1/31/2021","Sara Brooks","Outbound"
"CrownPeak Inc.","Crownpeak","Q1-2021","","Commercial Velocity - New Business","140.00","18000","140.0000000000","","1/21/2021","Universal Sales Rep","Channel Partner"
"Active","Active","Q1-2021","","Commercial Velocity - New Business","156.00","9000","156.0000000000","","1/13/2021","Universal Sales Rep","Channel Partner"
"Accomplishment Coaching","Accomplishment Coaching Website Round 2","Q1-2021","","Commercial Velocity - New Business","18.00","34556","18.0000000000","","1/25/2021","Universal Sales Rep","Inbound"
"INRIX","INRIX","Q1-2021","","Commercial Velocity - New Business","72.00","55000","72.0000000000","","1/22/2021","Universal Sales Rep","Inbound"
"Design and Direct Source","Design and Direct Source","Q1-2021","","Commercial Velocity - New Business","90.00","45496","90.0000000000","","1/18/2021","Universal Sales Rep","Inbound"
"Ship Calm","Ship Calm-","Q1-2021","","Commercial Velocity - New Business","14.00","2389","14.0000000000","","1/22/2021","Universal Sales Rep","Outbound"
"Ignyte","Ignyte","Q1-2021","","Commercial Velocity - New Business","44.00","6000","44.0000000000","","1/21/2021","Universal Sales Rep","Outbound"
"Zurich Tech Solutions","Zurich Tech Solutions","Q1-2021","","Commercial Velocity - New Business","147.00","6546","147.0000000000","","1/7/2021","Universal Sales Rep","Outbound"
"Kimball International Inc","Kimball","Q1-2021","","Commercial Velocity - New Business","174.00","26610","174.0000000000","","1/11/2021","Universal Sales Rep","Outbound"
"DuroMax Power Equipment","DuroMax","Q1-2021","","Commercial Velocity - New Business","37.00","1000","37.0000000000","","1/1/2021","Zac Kyle","Channel Partner"
"DuroMax Power Equipment","DuroMax Video/Photo Shoot","Q1-2021","","Commercial Velocity - New Business","46.00","27631","46.0000000000","","1/19/2021","Zac Kyle","Channel Partner"
"Hauk Off-Road","Hauk Off-Road","Q1-2021","","Commercial Velocity - New Business","129.00","1000","129.0000000000","","1/15/2021","Zac Kyle","Channel Partner"
"Furbit","Furbit","Q1-2021","","Commercial Velocity - New Business","56.00","1000","56.0000000000","","1/1/2021","Zac Kyle","Inbound"
"The Fairbanks Ranch","The Fairbanks Ranch","Q1-2021","","Commercial Velocity - New Business","106.00","50000","106.0000000000","","1/1/2021","Zac Kyle","Inbound"
"Spark Advisors","Spark Advisors","Q1-2021","","Commercial Velocity - New Business","84.00","1000","84.0000000000","","1/1/2021","Zac Kyle","Outbound"
"Tim McGarry","Tim McGarry","Q1-2021","","Commercial Velocity - New Business","2.00","2867","2.0000000000","","2/17/2021","Alex Serna","Channel Partner"
"BestGoPets.Com","BestGoPets.Com","Q1-2021","","Commercial Velocity - New Business","95.00","8500","95.0000000000","","2/22/2021","Alex Serna","Outbound"
"PINS Advantage","PINS Advantage","Q1-2021","","Commercial Velocity - New Business","199.00","5000","549.0000000000","","2/28/2021","Alex Serna","Outbound"
"ZENTS","ZENTS","Q1-2021","","Commercial Velocity - New Business","22.00","15000","22.0000000000","","2/26/2021","Ben Rogers","Channel Partner"
"Innovation Spirits","Aga Vie","Q1-2021","","Commercial Velocity - New Business","18.00","5000","18.0000000000","","2/26/2021","Ben Rogers","Outbound"
"Down Etc","Down Etc-","Q1-2021","","Commercial Velocity - New Business","26.00","20000","26.0000000000","","2/28/2021","Ben Rogers","Outbound"
"Refaire Skincare","Refaire Skincare-","Q1-2021","","Commercial Velocity - New Business","32.00","6500","32.0000000000","","2/15/2021","Brittany Arnold","Channel Partner"
"Cleer Audio","Cleer Audio","Q1-2021","","Commercial Velocity - New Business","68.00","12899","68.0000000000","","2/10/2021","Brittany Arnold","Channel Partner"
"abdy Lowy LLC","abdy Lowy LLC","Q1-2021","","Strategic Accounts - New Business","-1.00","13965","0.0000000000","","2/18/2021","Corey Eulas","Channel Partner"
"Cove Hill Partners","Covehill (202102)","Q1-2021","","Strategic Accounts - New Business","0.00","3584","0.0000000000","","2/18/2021","Corey Eulas","Channel Partner"
"MesoWatch","MesoWatch","Q1-2021","","Strategic Accounts - New Business","21.00","15000","21.0000000000","","2/15/2021","Corey Eulas","Channel Partner"
"getparallax","getparallax","Q1-2021","","Strategic Accounts - New Business","35.00","10000","35.0000000000","","2/15/2021","Corey Eulas","Channel Partner"
"RxDefine","RXDEFINE","Q1-2021","","Strategic Accounts - New Business","81.00","1000","81.0000000000","","2/1/2021","Corey Eulas","Channel Partner"
"Edward","Edwards","Q1-2021","","Strategic Accounts - New Business","87.00","1000","87.0000000000","","2/1/2021","Corey Eulas","Channel Partner"
"Total Men?s Primary Care","Total Men?s Primary Care","Q1-2021","","Strategic Accounts - New Business","89.00","8000","89.0000000000","","2/1/2021","Corey Eulas","Channel Partner"
"Vanguard Packaging Inc","VANGUARD PACKAGING","Q1-2021","","Strategic Accounts - New Business","94.00","17968","94.0000000000","","2/1/2021","Corey Eulas","Channel Partner"
"Life Extensions","Life Extension","Q1-2021","","Strategic Accounts - New Business","102.00","8953","102.0000000000","","2/9/2021","Corey Eulas","Channel Partner"
"Home Advisor","Homeadvisor","Q1-2021","","Strategic Accounts - New Business","116.00","9310","116.0000000000","","2/16/2021","Corey Eulas","Channel Partner"
"High Radius","High Radius","Q1-2021","","Strategic Accounts - New Business","32.00","1000","32.0000000000","","2/26/2021","Corey Eulas","Inbound"
"Gilda's Club","Gilda's Club-","Q1-2021","","Rapid Growth Brands - New Business","7.00","5000","7.0000000000","","2/9/2021","Hannah Underhill","Channel Partner"
"Slab Mule","Slab Mule","Q1-2021","","Rapid Growth Brands - New Business","32.00","5000","32.0000000000","","2/11/2021","Hannah Underhill","Outbound"
"Blade & Rose","Blade & Rose","Q1-2021","","Rapid Growth Brands - New Business","2.00","14332","2.0000000000","","2/10/2021","Jake Mehani","Channel Partner"
"Aura","Aura - Paid Social + Creative","Q1-2021","","Rapid Growth Brands - New Business","-14.00","15000","0.0000000000","","2/17/2021","Jake Mehani","Inbound"
"Cerebral","Cerebral","Q1-2021","","Rapid Growth Brands - New Business","-4.00","14189","0.0000000000","","2/12/2021","Jake Mehani","Inbound"
"LaVie Lactation Massager","LaVie Mom","Q1-2021","","Rapid Growth Brands - New Business","-1.00","9316","0.0000000000","","2/28/2021","Jake Mehani","Inbound"
"Rush Cycle","Rush Cycle Boca Raton","Q1-2021","","Commercial Velocity - New Business","-9.00","7548","0.0000000000","","2/10/2021","Jeff Mason","Channel Partner"
"Vessel Health","Vessel Health","Q1-2021","","Rapid Growth Brands - New Business","-8.00","14200","0.0000000000","","2/11/2021","Jeff Mason","Outbound"
"Twomey Cellars","Twomey","Q1-2021","","Commercial Velocity - New Business","-2.00","7405","0.0000000000","","2/3/2021","Jeff Mason","Outbound"
"VAN DE VORT","Van de Vort","Q1-2021","","Commercial Velocity - New Business","259.00","6000","259.0000000000","","2/15/2021","Jenny Silva","Outbound"
"Territory Foods","Territory Foods","Q1-2021","","Brand Strategy - New Business","2.00","9459","2.0000000000","","2/22/2021","Kira Tirshfield","Channel Partner"
"Elenita","Elenita - PR","Q1-2021","","Brand Strategy - New Business","31.00","10000","383.0000000000","1/27/2022 1:49 PM","2/26/2021","Kira Tirshfield","Channel Partner"
"BETTER BRANDS FOOD PRODUCTS, INC","Better Brand","Q1-2021","","Brand Strategy - New Business","0.00","14237","0.0000000000","","2/20/2021","Kira Tirshfield","Inbound"
"Anti-Acne Club","Anti-Acne Club","Q1-2021","","Brand Strategy - New Business","6.00","9459","6.0000000000","","2/9/2021","Kira Tirshfield","Inbound"
"Viome Inc","Viome","Q1-2021","","Brand Strategy - New Business","53.00","19110","53.0000000000","","2/28/2021","Kira Tirshfield","Inbound"
"Hungry Harvest","Hungry Harvest","Q1-2021","","Brand Strategy - New Business","55.00","9459","55.0000000000","","2/11/2021","Kira Tirshfield","Inbound"
"Slice of Sauce","Slice of Sauce","Q1-2021","","Brand Strategy - New Business","97.00","9800","97.0000000000","","2/1/2021","Kira Tirshfield","Inbound"
"The Hao Life","The Hao Life","Q1-2021","","Brand Strategy - New Business","102.00","5000","102.0000000000","","2/28/2021","Kira Tirshfield","Inbound"
"Rightful","Rightful","Q1-2021","","Brand Strategy - New Business","122.00","9800","122.0000000000","","2/28/2021","Kira Tirshfield","Inbound"
"The Chasm Group, LLC","Chasm - Brand TBD (advisor)","Q1-2021","","Brand Strategy - New Business","125.00","9413","125.0000000000","","2/1/2021","Kira Tirshfield","Inbound"
"INTEX","INTEX","Q1-2021","","Brand Strategy - New Business","153.00","9413","153.0000000000","","2/28/2021","Kira Tirshfield","Inbound"
"Bespoke Post","Bespoke Post","Q1-2021","","Brand Strategy - New Business","1.00","8345","1.0000000000","","2/18/2021","Kira Tirshfield","Outbound"
"Drink Hiyo","Drink Hiyo","Q1-2021","","Brand Strategy - New Business","31.00","10000","31.0000000000","","2/12/2021","Kira Tirshfield","Outbound"
"NOVO Brewing Co.","Nova-","Q1-2021","","Brand Strategy - New Business","39.00","5000","39.0000000000","","2/26/2021","Kira Tirshfield","Outbound"
"Carbone","Carbone","Q1-2021","","Brand Strategy - New Business","90.00","12642","90.0000000000","","2/1/2021","Kira Tirshfield","Outbound"
"Ivy Energy","Ivy Energy","Q1-2021","","Commercial Velocity - New Business","83.00","6000","83.0000000000","","2/4/2021","Matt Levitt","Inbound"
"Inkkas","Inkkas","Q1-2021","","Rapid Growth Brands - New Business","0.00","1000","0.0000000000","","2/26/2021","Matt Levitt","Outbound"
"Mailgun by Sinch","Mailgun","Q1-2021","","Rapid Growth Brands - New Business","5.00","1000","5.0000000000","","2/9/2021","Matt Levitt","Outbound"
"Demy-Colton Inc","Demy-Colton","Q1-2021","","Rapid Growth Brands - New Business","16.00","5000","16.0000000000","","2/26/2021","Matt Levitt","Outbound"
"Caliper","Caliper","Q1-2021","","Rapid Growth Brands - New Business","28.00","7500","28.0000000000","","2/26/2021","Matt Levitt","Outbound"
"GoTab, Inc.","GoTab","Q1-2021","","Commercial Velocity - New Business","90.00","5000","90.0000000000","","2/10/2021","Matt Levitt","Outbound"
"Spearhead Media","Spearhead Media","Q1-2021","","Commercial Velocity - New Business","188.00","3000","188.0000000000","","2/15/2021","Matt Levitt","Outbound"
"Brightfin","Brightfin","Q1-2021","","Commercial Velocity - New Business","0.00","24010","0.0000000000","","2/9/2021","Mike Iaco","Channel Partner"
"Vegamour","Vegamour","Q1-2021","","Commercial Velocity - New Business","0.00","9392","0.0000000000","","2/16/2021","Mike Iaco","Channel Partner"
"Paperlike","Paperlike-","Q1-2021","","Commercial Velocity - New Business","29.00","10000","29.0000000000","","2/10/2021","Pat Kreidler","Channel Partner"
"Beachly","Beach.ly","Q1-2021","","Commercial Velocity - New Business","48.00","10000","48.0000000000","","2/1/2021","Pat Kreidler","Channel Partner"
"Soapy Joe's, Inc.","Soapy Joe's - PDM","Q1-2021","","Commercial Velocity - New Business","52.00","7644","52.0000000000","","2/5/2021","Pat Kreidler","Channel Partner"
"Zen Beverage LLC","Muse - Website Project","Q1-2021","","Commercial Velocity - New Business","63.00","28665","63.0000000000","","2/5/2021","Pat Kreidler","Channel Partner"
"Eastpoint Sports Ltd LLC","EastPoint Sports","Q1-2021","","Commercial Velocity - New Business","65.00","10000","65.0000000000","","2/10/2021","Pat Kreidler","Channel Partner"
"VIZIO Inc","Vizio","Q1-2021","","Commercial Velocity - New Business","79.00","5000","79.0000000000","","2/1/2021","Pat Kreidler","Inbound"
"Hilarys Eat Well","Hilary's Eat Well","Q1-2021","","Commercial Velocity - New Business","127.00","4778","127.0000000000","","2/3/2021","Pat Kreidler","Inbound"
"Cali Bamboo LLC","Cali Bamboo - SEO + CRO RFP","Q1-2021","","Commercial Velocity - New Business","48.00","7500","48.0000000000","","2/1/2021","Pat Kreidler","Outbound"
"Worky","Worky","Q1-2021","","Commercial Velocity - New Business","79.00","7500","79.0000000000","","2/1/2021","Pat Kreidler","Outbound"
"BigSpeak","Big Speak","Q1-2021","","Commercial Velocity - New Business","79.00","1000","79.0000000000","","2/1/2021","Pat Kreidler","Outbound"
"South Chicago Packing","South Chicago Packing - Website & Branding Project Proposal","Q1-2021","","Commercial Velocity - New Business","81.00","35000","81.0000000000","","2/3/2021","Pat Kreidler","Outbound"
"Cobi GmbH","Bosch eBikes","Q1-2021","","Commercial Velocity - New Business","83.00","10000","83.0000000000","","2/1/2021","Pat Kreidler","Outbound"
"South Chicago Packing","South Chicago Packing","Q1-2021","","Commercial Velocity - New Business","119.00","14236","119.0000000000","","2/19/2021","Pat Kreidler","Outbound"
"Top Fox Snacks","Top Fox Snacks","Q1-2021","","Commercial Velocity - New Business","182.00","4750","182.0000000000","","2/10/2021","Pat Kreidler","Outbound"
"UFC-WME","UFC-WME","Q1-2021","","Private Equity - Marketing Deal","56.00","20000","56.0000000000","","2/1/2021","Pierre Le Veaux","Outbound"
"Moe's Southwest Grill, LLC","Moes Southwest Gril","Q1-2021","","Private Equity - Marketing Deal","101.00","6000","101.0000000000","","2/4/2021","Pierre Le Veaux","Outbound"
"U Calming","U Calming","Q1-2021","","Brand Strategy - New Business","3.00","40000","3.0000000000","","2/8/2021","Sara Brooks","Channel Partner"
"Mantra Labs","Mantra Labs","Q1-2021","","Brand Strategy - New Business","0.00","10000","0.0000000000","","2/8/2021","Sara Brooks","Outbound"
"No Ugly","No Ugly","Q1-2021","","Brand Strategy - New Business","172.00","5000","172.0000000000","","2/28/2021","Sara Brooks","Outbound"
"GoodHire, LLC","GoodHire","Q1-2021","","Commercial Velocity - New Business","59.00","41803","59.0000000000","","2/1/2021","Universal Sales Rep","Inbound"
"Sword Health","Sword Health","Q1-2021","","Commercial Velocity - New Business","68.00","10000","68.0000000000","","2/1/2021","Universal Sales Rep","Inbound"
"Bufferin","Bufferin","Q1-2021","","Commercial Velocity - New Business","68.00","7166","68.0000000000","","2/8/2021","Universal Sales Rep","Inbound"
"Packlane","Packlane","Q1-2021","","Commercial Velocity - New Business","69.00","7166","69.0000000000","","2/9/2021","Universal Sales Rep","Inbound"
"Right Device","Right Device","Q1-2021","","Commercial Velocity - New Business","28.00","4000","28.0000000000","","2/4/2021","Universal Sales Rep","Outbound"
"Spotterfish","Spotterfish","Q1-2021","","Commercial Velocity - New Business","45.00","4000","45.0000000000","","2/21/2021","Universal Sales Rep","Outbound"
"Satori Tech","Satori Tech","Q1-2021","","Commercial Velocity - New Business","59.00","5812","59.0000000000","","2/15/2021","Universal Sales Rep","Outbound"
"Little By Little","Little By Little","Q1-2021","","Commercial Velocity - New Business","65.00","13900","65.0000000000","","2/11/2021","Universal Sales Rep","Outbound"
"Kimball International Inc","Kimball B2B","Q1-2021","","Commercial Velocity - New Business","84.00","10000","84.0000000000","","2/26/2021","Universal Sales Rep","Outbound"
"WP Law","WP Law","Q1-2021","","Commercial Velocity - New Business","42.00","15000","42.0000000000","","2/28/2021","Zac Kyle","Channel Partner"
"Great Lakes Dental Technologies","Great Lakes Dental","Q1-2021","","Commercial Velocity - New Business","47.00","17088","47.0000000000","","2/3/2021","Zac Kyle","Channel Partner"
"TBT (The Basketball Tournament)","TBT (The Basketball Tournament","Q1-2021","","Commercial Velocity - New Business","80.00","65000","80.0000000000","","2/1/2021","Zac Kyle","Outbound"
"Sunroad Auto","Sunroad Auto","Q1-2021","","Commercial Velocity - New Business","87.00","3000","87.0000000000","","2/1/2021","Zac Kyle","Outbound"
"Native","Native","Q1-2021","","Commercial Velocity - New Business","176.00","7500","176.0000000000","","2/15/2021","Zac Kyle","Outbound"
"El Kapitan","El Kapitan","Q1-2021","","Commercial Velocity - New Business","217.00","3500","217.0000000000","","2/1/2021","Zac Kyle","Outbound"
"Bassett Creek Capital","Bassett Creek Capital","Q1-2021","","Commercial Velocity - New Business","0.00","1225","0.0000000000","","3/15/2021","Alexa Engelhart","Channel Partner"
"Santa Monica Seafood Company","Santa Monica Seafood","Q1-2021","","Commercial Velocity - New Business","259.00","5000","259.0000000000","","3/1/2021","Alex Serna","Channel Partner"
"YMI Jeans","YMI Jeans","Q1-2021","","Commercial Velocity - New Business","266.00","2000","266.0000000000","","3/3/2021","Alex Serna","Channel Partner"
"Bhang CBD","Bhang CBD","Q1-2021","","Commercial Velocity - New Business","236.00","3000","236.0000000000","","3/31/2021","Alex Serna","Outbound"
