"Account Name","Opportunity Name","Fiscal Period","Next Step","Type","Deal Velocity","Monthly Deal Value (Gross Profit)","Age","Appraisal Start Date","Close Date","Opportunity Owner","Lead Source Category"
"Misen","Misen","Q3-2021","","Private Equity - Diligence","4.00","14075","4.0000000000","","9/13/2021","Pierre Le Veaux","Outbound"
"Dolls Kill","Dolls Kill","Q3-2021","","Private Equity - Marketing Deal","9.00","22553","9.0000000000","8/31/2021 2:35 PM","9/9/2021","Pierre Le Veaux","Outbound"
"Datavest","Datavest Retainer","Q3-2021","","Private Equity - Diligence","75.00","14075","75.0000000000","","9/20/2021","Pierre Le Veaux","Outbound"
"Gloss Moderne","Gloss Moderne-","Q3-2021","","Brand Strategy - New Business","13.00","10000","13.0000000000","","9/30/2021","Sara Brooks","Channel Partner"
"Grounded Foods","Grounded Foods-","Q3-2021","","Brand Strategy - New Business","31.00","10000","31.0000000000","","9/30/2021","Sara Brooks","Channel Partner"
"Lotic.ai, LLC","Lotic-","Q3-2021","","Brand Strategy - New Business","79.00","0","79.0000000000","","9/30/2021","Sara Brooks","Channel Partner"
"Riverence","Riverence","Q3-2021","","Brand Strategy - New Business","33.00","19000","33.0000000000","","9/15/2021","Sara Brooks","Inbound"
"Hyphra","Hyphra","Q3-2021","","Brand Strategy - New Business","58.00","1000","58.0000000000","","9/30/2021","Sara Brooks","Other"
"Sambazon","Sambazon-","Q3-2021","","Brand Strategy - New Business","0.00","53474","0.0000000000","","9/9/2021","Sara Brooks","Outbound"
"HVMN","HVMN-","Q3-2021","","Brand Strategy - New Business","6.00","1000","6.0000000000","12/7/2021 12:31 PM","9/30/2021","Sara Brooks","Outbound"
"Graza","Graza-","Q3-2021","","Brand Strategy - New Business","99.00","12000","99.0000000000","","9/29/2021","Sara Brooks","Outbound"
"Mavis Tires","Mavis Tires-","Q3-2021","","Commercial Velocity - New Business","50.00","62108","50.0000000000","","9/1/2021","Zac Kyle","Channel Partner"
"Source Intelligence","Source Intelligence-","Q3-2021","","Commercial Velocity - New Business","0.00","0","0.0000000000","","9/17/2021","Zac Kyle","Inbound"
"Ebike Essentials","Ebike Essentials-","Q3-2021","","Commercial Velocity - New Business","1.00","1000","1.0000000000","","9/28/2021","Zac Kyle","Inbound"
"ShredLights","ShredLights-","Q3-2021","","Commercial Velocity - New Business","1.00","1000","1.0000000000","","9/29/2021","Zac Kyle","Inbound"
"Sesh","Sesh-","Q3-2021","","Commercial Velocity - New Business","4.00","1000","4.0000000000","","9/14/2021","Zac Kyle","Inbound"
"Modern Fit","Modern Fit-","Q3-2021","","Commercial Velocity - New Business","7.00","1000","7.0000000000","","9/16/2021","Zac Kyle","Inbound"
"Stanley Black & Decker","Stanley Black & Decker-","Q3-2021","","Commercial Velocity - New Business","15.00","1000","15.0000000000","","9/16/2021","Zac Kyle","Inbound"
"Pro Workout Trainer","Pro Workout Trainer-","Q3-2021","","Commercial Velocity - New Business","17.00","1000","17.0000000000","","9/10/2021","Zac Kyle","Inbound"
"KORTX","KORTX-","Q3-2021","","Commercial Velocity - New Business","20.00","1000","20.0000000000","","9/14/2021","Zac Kyle","Inbound"
"Re-Plate Inc.","Replate-","Q3-2021","","Commercial Velocity - New Business","22.00","11460","22.0000000000","9/2/2021 3:22 PM","9/16/2021","Zac Kyle","Inbound"
"MyFitnessPal","MyFitnessPal-","Q3-2021","","Commercial Velocity - New Business","25.00","65131","25.0000000000","8/26/2021 1:24 PM","9/14/2021","Zac Kyle","Inbound"
"Woo Wang Dental","Woo Wang Dental-","Q3-2021","","Commercial Velocity - New Business","41.00","1000","41.0000000000","","9/1/2021","Zac Kyle","Inbound"
"LX Medical","LX Medical-","Q3-2021","","Commercial Velocity - New Business","50.00","5000","50.0000000000","","9/30/2021","Zac Kyle","Inbound"
"THE VITAMIN SHOPPE","The Vitamin Shoppe","Q3-2021","","Commercial Velocity - New Business","56.00","10000","56.0000000000","","9/1/2021","Zac Kyle","Inbound"
"sweat yoga","sweat yoga-","Q3-2021","","Commercial Velocity - New Business","56.00","1000","56.0000000000","","9/29/2021","Zac Kyle","Inbound"
"Honest1 Auto Care","Honest1 Auto Care-","Q3-2021","","Commercial Velocity - New Business","56.00","1000","56.0000000000","","9/30/2021","Zac Kyle","Inbound"
