"Account Name","Opportunity Name","Fiscal Period","Next Step","Type","Deal Velocity","Monthly Deal Value (Gross Profit)","Age","Appraisal Start Date","Stage","Lead Source","Annual Revenue","Industry","Contact: Title","Close Date","Opportunity Owner","Lead Source Category"
"Kendra Scott","Kendra Scott","Q2-2021","","Rapid Growth Brands - New Business","5.00","14000","5.0000000000","","Closed Won","Referral Partner","100000000","Apparel","","5/5/2021","Connor Sanner","Channel Partner"
"360 Quote LLC","360 Quote (May Diligence)","Q2-2021","","Strategic Accounts - New Business","-1.00","9310","0.0000000000","","Closed Won","Current Client","35000000","","","5/3/2021","Corey Eulas","Channel Partner"
"Cove Hill Partners","Covehill (Jiffy Diligence)","Q2-2021","","Strategic Accounts - New Business","0.00","22344","0.0000000000","","Closed Won","Current Client","22140000","Investment Banking","","5/7/2021","Corey Eulas","Channel Partner"
"LiveFreeda","LiveFreeda","Q2-2021","","Strategic Accounts - New Business","22.00","9310","22.0000000000","","Closed Won","Referral Partner","","Unknown","","5/11/2021","Corey Eulas","Channel Partner"
"Hopin","Hopin","Q2-2021","","Strategic Accounts - New Business","29.00","1000","29.0000000000","","Closed Lost","Referral Partner","","Unknown","","5/1/2021","Corey Eulas","Channel Partner"
"Yumwoof","Yumwoof","Q2-2021","","Strategic Accounts - New Business","64.00","1000","64.0000000000","","Closed Lost","Referral Partner","","","","5/1/2021","Corey Eulas","Channel Partner"
"Fifth Avenue Eyewear","Sak's 5th","Q2-2021","","Strategic Accounts - New Business","79.00","25975","79.0000000000","","Closed Won","Referral Partner","542897000","Apparel & Fashion","","5/12/2021","Corey Eulas","Channel Partner"
"Found","Join Found","Q2-2021","","Strategic Accounts - New Business","91.00","6682","91.0000000000","","Closed Won","Referral Partner","","","","5/28/2021","Corey Eulas","Channel Partner"
"BARK","BarkBox (Retainer)","Q2-2021","","Strategic Accounts - New Business","96.00","6470","96.0000000000","","Closed Lost","Referral Partner","3000000","Consumer Goods","","5/1/2021","Corey Eulas","Channel Partner"
"Employer Advantage LLC","Employer Advantage","Q2-2021","","Strategic Accounts - New Business","106.00","22500","106.0000000000","","Closed Lost","Referral Partner","1000000","Human Resources","","5/1/2021","Corey Eulas","Channel Partner"
"Public Spirit Co","Public Spirit Co","Q2-2021","","Strategic Accounts - New Business","232.00","9000","520.0000000000","","On Hold","Referral Partner","","","","5/1/2021","Corey Eulas","Channel Partner"
"Michael Roger, Inc. (Decomposition)","Decomposition","Q2-2021","","Strategic Accounts - New Business","50.00","10000","50.0000000000","","Closed Lost","Website","","Home/Personal Products","","5/1/2021","Corey Eulas","Inbound"
"EMCEE Society","EMCEE Society","Q2-2021","","Strategic Accounts - New Business","60.00","16758","60.0000000000","","Closed Won","Clutch","","Unknown","","5/21/2021","Corey Eulas","Inbound"
"Lazy. Cloud","Lazy. Cloud-","Q2-2021","","Brand Strategy - New Business","42.00","11179","42.0000000000","","SDR Nurture","Outbound","","Beauty","Founder","5/31/2021","Hannah Underhill","Outbound"
"https://wrenglory.com/","Wren + Glory","Q2-2021","","Rapid Growth Brands - New Business","32.00","20000","32.0000000000","","Closed Lost","Referral Partner","","Unknown","","5/31/2021","Jake Mehani","Channel Partner"
"Humanrace","Humanrace","Q2-2021","","Rapid Growth Brands - New Business","34.00","15000","34.0000000000","","Closed Lost","Referral Partner","10000000","Unknown","","5/31/2021","Jake Mehani","Channel Partner"
"Redesign Health","Redesign Health - Creative","Q2-2021","","Rapid Growth Brands - New Business","40.00","10000","40.0000000000","","Disqualified","Referral Partner","10000000","Healthcare","","5/31/2021","Jake Mehani","Channel Partner"
"KYPRIS Beauty","KYPRIS Beauty","Q2-2021","","Rapid Growth Brands - New Business","41.00","10000","41.0000000000","","Disqualified","Referral Partner","10000000","Unknown","","5/31/2021","Jake Mehani","Channel Partner"
"Smart-Trike","Smart-Trike","Q2-2021","","Rapid Growth Brands - New Business","42.00","10000","42.0000000000","","Closed Lost","Facebook Israel","","","","5/31/2021","Jake Mehani","Channel Partner"
"WTHN","WTHN","Q2-2021","","Rapid Growth Brands - New Business","62.00","10000","62.0000000000","","Closed Lost","Referral Partner","1000000","Health/Wellness","","5/6/2021","Jake Mehani","Channel Partner"
"Cometeer","Cometeer","Q2-2021","","Rapid Growth Brands - New Business","73.00","29806","73.0000000000","","Closed Won","Referral Partner","10000000","","","5/20/2021","Jake Mehani","Channel Partner"
"Geometry","Geometry","Q2-2021","","Rapid Growth Brands - New Business","13.00","22693","13.0000000000","","Closed Won","Website","","","","5/3/2021","Jake Mehani","Inbound"
"Schazrosman","Schazrosman","Q2-2021","","Rapid Growth Brands - New Business","61.00","10000","61.0000000000","","Disqualified","Website","","Apparel","","5/4/2021","Jake Mehani","Inbound"
"Aura Frames","Aura Frames","Q2-2021","","Rapid Growth Brands - New Business","53.00","15000","53.0000000000","","Disqualified","Employee Referral","","Home/Personal Products","","5/31/2021","Jake Mehani","Outbound"
"exhale coffee roasters","Exhale Healthy Coffee-","Q2-2021","","Commercial Velocity - New Business","61.00","0","61.0000000000","","SDR Nurture","Outbound","","Food/Beverage","Co-Founder and CEO","5/24/2021","Jenny Silva","Outbound"
"Hamama","Hamama","Q2-2021","","Commercial Velocity - New Business","98.00","15000","98.0000000000","","AE Nurture","Outbound","1000000","Consumer Goods","","5/31/2021","Jenny Silva","Outbound"
"Grupo La Moderna","La Moderna-","Q2-2021","","Commercial Velocity - New Business","110.00","7448","110.0000000000","","SDR Nurture","SDR Outbound","1687000","Food/Beverage","Marketing","5/14/2021","Jenny Silva","Outbound"
"Hummingway","Hummingway","Q2-2021","","Brand Strategy - New Business","11.00","8875","11.0000000000","","Closed Won","Referral Partner","","Unknown","","5/3/2021","Kira Tirshfield","Channel Partner"
"Freeball","Freeball","Q2-2021","","Brand Strategy - New Business","81.00","38220","81.0000000000","","Disqualified","Referral Partner","","Unknown","","5/31/2021","Kira Tirshfield","Channel Partner"
"Fit + Fresh","Fit + Fresh","Q2-2021","","Brand Strategy - New Business","0.00","7448","0.0000000000","","Closed Won","Covet - Website Lead","10000000","Apparel","","5/21/2021","Kira Tirshfield","Inbound"
"Dare To Roam","Dare To Roam","Q2-2021","","Brand Strategy - New Business","1.00","13686","1.0000000000","","Closed Won","Covet - Website Lead","","Unknown","","5/11/2021","Kira Tirshfield","Inbound"
"Shik?","Shik?","Q2-2021","","Brand Strategy - New Business","17.00","13686","17.0000000000","","Closed Won","Covet - Website Lead","","Unknown","","5/27/2021","Kira Tirshfield","Inbound"
"Spudsy","Spudsy","Q2-2021","","Brand Strategy - New Business","39.00","18015","39.0000000000","","Disqualified","Covet - Website Lead","","","","5/31/2021","Kira Tirshfield","Inbound"
"Whipped","Whipped","Q2-2021","","Brand Strategy - New Business","101.00","10000","101.0000000000","","Disqualified","Covet - Website Lead","","Food/Beverage","","5/14/2021","Kira Tirshfield","Inbound"
"MUTHA?","MUTHA","Q2-2021","","Brand Strategy - New Business","28.00","9031","28.0000000000","","Closed Won","Employee Referral","","Unknown","","5/3/2021","Kira Tirshfield","Outbound"
"Chomps","CHOMPS","Q2-2021","","Brand Strategy - New Business","35.00","9031","35.0000000000","","Closed Won","Employee Referral","46374000","Food/Beverage","Brand Director","5/3/2021","Kira Tirshfield","Outbound"
"ChargePoint","ChargePoint","Q2-2021","","Rapid Growth Brands - New Business","33.00","1000","33.0000000000","","SDR Nurture","Website","175367000","Automotive","Sr. Marketing Manager, Consumer Marketing + Channel Sales","5/1/2021","Matt Levitt","Inbound"
"Cassida Corporation","Cassida","Q2-2021","","Rapid Growth Brands - New Business","44.00","9555","44.0000000000","","SDR Nurture","Website","625000","Software/Technology","Head of E-Commerce Product","5/1/2021","Matt Levitt","Inbound"
"DREAMLINE BRANDS, INC.","Dreamline Brands","Q2-2021","","Rapid Growth Brands - New Business","67.00","60674","67.0000000000","","SDR Nurture","Website","10000000","Beauty","","5/21/2021","Matt Levitt","Inbound"
"Milton's Craft Bakers","Milton's Craft Bakers","Q2-2021","","Rapid Growth Brands - New Business","155.00","18823","155.0000000000","","SDR Nurture","Website","2480000","","","5/15/2021","Matt Levitt","Inbound"
"Rokt","Rokt","Q2-2021","","Rapid Growth Brands - New Business","72.00","31220","72.0000000000","","Closed Lost","Employee Referral","","Software/Technology","","5/26/2021","Matt Levitt","Outbound"
"Pediatric Cancer Research Foundation","Pediatric Cancer Research Foundation","Q2-2021","","Rapid Growth Brands - New Business","102.00","2500","102.0000000000","","SDR Nurture","Employee Referral","4472000","","","5/1/2021","Matt Levitt","Outbound"
"Gentle Wave (iHeart Andrew Referral)","Gentle Wave (iHeart Andrew Referral)","Q2-2021","","Commercial Velocity - New Business","913.00","6500","913.0000000000","","SDR Nurture","Referral Partner","","","Vice President Of Strategic Marketing","5/14/2021","Mike Iaco","Channel Partner"
"Joan's a Keeper","Joan's a Keeper-","Q2-2021","","Commercial Velocity - New Business","44.00","7500","44.0000000000","","Disqualified","Referral Partner","","Home/Personal Products","","5/1/2021","Pat Kreidler","Channel Partner"
"Cast Love","Cast Love","Q2-2021","","Commercial Velocity - New Business","58.00","33363","58.0000000000","","Closed Lost","Current Client","","Beauty","","5/14/2021","Pat Kreidler","Channel Partner"
"Proof Syrup","Proof Syrup-","Q2-2021","","Commercial Velocity - New Business","59.00","3000","59.0000000000","","SDR Nurture","Referral Partner","","Food/Beverage","","5/1/2021","Pat Kreidler","Channel Partner"
"MUD WTR","MudWtr-","Q2-2021","","Commercial Velocity - New Business","65.00","15000","65.0000000000","","Closed Lost","Referral Partner","1000000","Food/Beverage","","5/14/2021","Pat Kreidler","Channel Partner"
"Diamante Eco Adventure Park","Diamante Eco Adventure Park","Q2-2021","","Commercial Velocity - New Business","111.00","5000","111.0000000000","","SDR Nurture","Current Client","","","","5/1/2021","Pat Kreidler","Channel Partner"
"MD Biologics","MD Biologics","Q2-2021","","Commercial Velocity - New Business","114.00","7584","114.0000000000","","Closed Won","Referral Partner","","","","5/4/2021","Pat Kreidler","Channel Partner"
"Bumpers","Bumpers-","Q2-2021","","Commercial Velocity - New Business","51.00","0","51.0000000000","","SDR Nurture","Website","","Senior Living","","5/1/2021","Pat Kreidler","Inbound"
"Samovar Tea","Samovar Tea-","Q2-2021","","Commercial Velocity - New Business","59.00","1000","59.0000000000","","Disqualified","Website","","Food/Beverage","President","5/1/2021","Pat Kreidler","Inbound"
"Samovar Tea","Samovar Tea","Q2-2021","","Commercial Velocity - New Business","80.00","0","80.0000000000","","Disqualified","Website","1000000","Restaurants","","5/1/2021","Pat Kreidler","Inbound"
"Arlene","Arlene (Plant Based Cuisine Concept)","Q2-2021","","Commercial Velocity - New Business","80.00","7500","80.0000000000","","SDR Nurture","Website","","","","5/1/2021","Pat Kreidler","Inbound"
"Glo Pharma","Glo Pharma","Q2-2021","","Commercial Velocity - New Business","215.00","16913","215.0000000000","","SDR Nurture","Website","","","","5/1/2021","Pat Kreidler","Inbound"
"Abby's Better Nut Butter","Abby's Better Nut Butter-","Q2-2021","","Commercial Velocity - New Business","24.00","15000","24.0000000000","","SDR Nurture","Employee Referral","","Food/Beverage","","5/7/2021","Pat Kreidler","Outbound"
"Appleton's Market","Appleton's Market-","Q2-2021","","Commercial Velocity - New Business","48.00","0","48.0000000000","","SDR Nurture","Outbound","","Food/Beverage","Founder","5/1/2021","Pat Kreidler","Outbound"
"Flip Fit","Flip Fit-","Q2-2021","","Commercial Velocity - New Business","52.00","0","52.0000000000","","SDR Nurture","Employee Referral","","Software/Technology","Chief Growth & Community Officer","5/9/2021","Pat Kreidler","Outbound"
"Dr. Squatch","Dr. Squatch","Q2-2021","","Commercial Velocity - New Business","73.00","1000","73.0000000000","","SDR Nurture","Employee Referral","10000000","Consumer Goods","","5/15/2021","Pat Kreidler","Outbound"
"Duckfoot Brewing Co","Duckfoot Brewing Co.","Q2-2021","","Commercial Velocity - New Business","111.00","1000","111.0000000000","","Disqualified","Employee Referral","50000000","Food & Beverages","","5/1/2021","Pat Kreidler","Outbound"
"Freeman Spogli & Co.","Brooklinen","Q2-2021","","Private Equity - Diligence","1.00","15000","1.0000000000","","Closed Won","Current Client","1000000000","Unknown","","5/4/2021","Pierre Le Veaux","Channel Partner"
"Organi Brands","Organi Brands","Q2-2021","","Private Equity - Diligence","1.00","7500","1.0000000000","","Closed Won","Referral Partner","","Unknown","","5/4/2021","Pierre Le Veaux","Channel Partner"
"Recipe for Tmrw","Above Foods / Recipe for Tomorrow","Q2-2021","","Brand Strategy - New Business","232.00","23912","232.0000000000","","Closed Won","Covet - Website Lead","","Food/Beverage","","5/28/2021","Sara Brooks","Inbound"
"Thuan Hoang","Asana","Q2-2021","","Commercial Velocity - New Business","29.00","2352","29.0000000000","","Closed Lost","Clutch","1000000","Software/Technology","","5/11/2021","Universal Sales Rep","Inbound"
"Nexa","Nexa","Q2-2021","","Commercial Velocity - New Business","36.00","10510","36.0000000000","","Closed Lost","Employee Referral","","Software/Technology","","5/15/2021","Universal Sales Rep","Outbound"
"ZSupply","Z Supply 2021","Q2-2021","","Commercial Velocity - New Business","93.00","23887","93.0000000000","","Closed Lost","SDR Nurture","","Apparel","Digital Marketing Manager","5/13/2021","Universal Sales Rep","Outbound"
"JUST","Just Water","Q2-2021","","Commercial Velocity - New Business","72.00","10000","72.0000000000","","AE Nurture","Referral Partner","20000000","Unknown","","5/15/2021","Zac Kyle","Channel Partner"
"MD Bio","MD Bio","Q2-2021","","Commercial Velocity - New Business","120.00","7584","120.0000000000","","Closed Won","Referral Partner","","CBD","","5/7/2021","Zac Kyle","Channel Partner"
"McRoberts Technologies","McRoberts Technologies-","Q2-2021","","Commercial Velocity - New Business","43.00","0","43.0000000000","","Disqualified","Website","","Healthcare","","5/15/2021","Zac Kyle","Inbound"
"ofafit.com","One For All Fitness-","Q2-2021","","Commercial Velocity - New Business","33.00","0","33.0000000000","","Disqualified","Employee Referral","","Health/Wellness","Enterprise Account Executive","5/1/2021","Zac Kyle","Outbound"
"Humboldt Distillery","Humboldt Distillery-","Q2-2021","","Commercial Velocity - New Business","43.00","5500","43.0000000000","","Disqualified","Employee Referral","","Food/Beverage","Founder","5/1/2021","Zac Kyle","Outbound"
"Ripped Up Nutrition","Ripped Up Nutrition-","Q2-2021","","Commercial Velocity - New Business","44.00","1000","44.0000000000","","Disqualified","SDR Outbound","","Fitness","Chief Executive Officer","5/15/2021","Zac Kyle","Outbound"
"NITRO Beverage Co.","NITRO Beverage Co.-","Q2-2021","","Commercial Velocity - New Business","45.00","10000","45.0000000000","","AE Nurture","Employee Referral","","Food/Beverage","Co-Founder","5/15/2021","Zac Kyle","Outbound"
"Healthcare Website - Joel Saban","Healthcare Website - Joel Saban-","Q2-2021","","Commercial Velocity - New Business","47.00","65000","47.0000000000","","Closed Lost","Employee Referral","10000000","Healthcare","CEO @ Apotheco Pharmacy Group","5/15/2021","Zac Kyle","Outbound"
"Cesarina Pasta","Cesarina Pasta","Q2-2021","","Commercial Velocity - New Business","48.00","42998","48.0000000000","","Closed Won","Outbound","","","","5/3/2021","Zac Kyle","Outbound"
"John Elliott","John Elliott-","Q2-2021","","Commercial Velocity - New Business","52.00","9000","52.0000000000","","AE Nurture","Employee Referral","","Apparel","E-commerce Director","5/31/2021","Zac Kyle","Outbound"
"Choose Health","Choose Health","Q2-2021","","Commercial Velocity - New Business","64.00","12500","64.0000000000","","AE Nurture","Employee Referral","","Retail","","5/1/2021","Zac Kyle","Outbound"
"Kusar Court Reporters","Kusar Court Reporters","Q2-2021","","Commercial Velocity - New Business","78.00","0","78.0000000000","","Disqualified","Employee Referral","","","","5/15/2021","Zac Kyle","Outbound"
"Besa","Besa","Q2-2021","","Commercial Velocity - New Business","91.00","1000","91.0000000000","","AE Nurture","Employee Referral","","","","5/28/2021","Zac Kyle","Outbound"
"Good Planet Foods","Good Planet Foods - Paid Social, Search, PR","Q2-2021","","Brand Strategy - New Business","-2.00","17199","0.0000000000","","Closed Won","Current Client","3500000","Food/Beverage","","6/15/2021","Alexa Engelhart","Channel Partner"
"Jenzy","Jenzy-","Q2-2021","","Commercial Velocity - New Business","24.00","23012","24.0000000000","","AE Nurture","Referral Partner","2100000","Apparel","","6/30/2021","Alex Serna","Channel Partner"
"FreshRealm","FreshRealm-","Q2-2021","","Commercial Velocity - New Business","79.00","0","79.0000000000","","SDR Nurture","Referral Partner","","Food/Beverage","EVP, Brand and Communications","6/30/2021","Alex Serna","Channel Partner"
"PEGAI","PEGAI, LLC-","Q2-2021","","Commercial Velocity - New Business","54.00","5000","54.0000000000","","SDR Nurture","Website","","Apparel","Founder and Chief Craftsman","6/30/2021","Alex Serna","Inbound"
"Welcome to the Jungle ?esko","Welcome To The Jungle-","Q2-2021","","Commercial Velocity - New Business","64.00","7500","64.0000000000","","SDR Nurture","Website","50000000","Consumer Finance","Operations & Strategy intern @ Welcome to the jungle (France)","6/30/2021","Alex Serna","Inbound"
"Aureum Collective","Aureum","Q2-2021","","Commercial Velocity - New Business","54.00","10000","54.0000000000","","SDR Nurture","SDR Outbound","","Home/Personal Products","Founder","6/1/2021","Alex Serna","Outbound"
"DELOCE","DELOCE-","Q2-2021","","Commercial Velocity - New Business","89.00","1000","89.0000000000","","SDR Nurture","SDR Outbound","","Food/Beverage","Co-Founder, CMO at DELOCE","6/30/2021","Alex Serna","Outbound"
"PRIORI Adaptive Skincare","Priori Skincare","Q2-2021","","Commercial Velocity - New Business","105.00","1000","105.0000000000","","AE Nurture","Outbound","291000","","","6/1/2021","Alex Serna","Outbound"
"Inner Traditions International","Inner Traditions * Bear & Company-","Q2-2021","","Commercial Velocity - New Business","37.00","1000","37.0000000000","","Disqualified","Referral Partner","261000","Home/Personal Products","","6/30/2021","Ben Rogers","Channel Partner"
"Reggie","Reggie-","Q2-2021","","Commercial Velocity - New Business","58.00","1000","58.0000000000","","AE Nurture","Referral Partner","6087000","Pet","","6/30/2021","Ben Rogers","Channel Partner"
"E-Cloth Inc.","E Cloth-","Q2-2021","","Commercial Velocity - New Business","64.00","1000","64.0000000000","","Disqualified","Referral Partner","8619000","Home/Personal Products","President","6/30/2021","Ben Rogers","Channel Partner"
"GuineaDad","GuineaDad-","Q2-2021","","Commercial Velocity - New Business","33.00","20000","33.0000000000","","AE Nurture","The Manifest","","Pet","CEO and Founder","6/9/2021","Ben Rogers","Inbound"
"Still Novel","Still Novel, Inc-","Q2-2021","","Commercial Velocity - New Business","34.00","18055","34.0000000000","","Closed Won","The Manifest","969000","Home/Personal Products","Co Founder","6/16/2021","Ben Rogers","Inbound"
"iStrap","iStrap-","Q2-2021","","Commercial Velocity - New Business","37.00","10000","37.0000000000","","Disqualified","Website","","Home/Personal Products","","6/30/2021","Ben Rogers","Inbound"
"CaptainEco","Captain Eco-","Q2-2021","","Commercial Velocity - New Business","42.00","20000","42.0000000000","","Disqualified","Website","","Home/Personal Products","Product Manager","6/30/2021","Ben Rogers","Inbound"
"SELF/ish","SELF/ish-","Q2-2021","","Commercial Velocity - New Business","43.00","0","43.0000000000","","Disqualified","Website","","Beauty","Consultant","6/30/2021","Ben Rogers","Inbound"
"Dropkey","Dropkey-","Q2-2021","","Commercial Velocity - New Business","43.00","0","43.0000000000","","Disqualified","Website","","Electronics","Founder, Chief Executive Officer","6/30/2021","Ben Rogers","Inbound"
"Beast & Buckle","Beast & Buckle-","Q2-2021","","Commercial Velocity - New Business","49.00","8500","49.0000000000","","Disqualified","Website","","Pet","Founder","6/1/2021","Ben Rogers","Inbound"
"Oilseed Works Inc.","Synchronicity Hemp Oil-","Q2-2021","","Commercial Velocity - New Business","49.00","5000","49.0000000000","","Disqualified","Website","2000000","CBD","VP of eCommerce","6/30/2021","Ben Rogers","Inbound"
"Fulament","Fulament LLC-","Q2-2021","","Commercial Velocity - New Business","55.00","10000","55.0000000000","","AE Nurture","Clutch","","Home/Personal Products","Founder","6/1/2021","Ben Rogers","Inbound"
"Sundae School","Sundae School-","Q2-2021","","Commercial Velocity - New Business","56.00","7500","56.0000000000","","AE Nurture","The Manifest","","Apparel","Head of Growth & Marketing","6/30/2021","Ben Rogers","Inbound"
"GoProducts, LLC","LUXE Bidet-","Q2-2021","","Commercial Velocity - New Business","61.00","0","61.0000000000","","Disqualified","Website","1000000","Home/Personal Products","","6/30/2021","Ben Rogers","Inbound"
"The Living Desert","The Living Desert Zoo and Gardens-","Q2-2021","","Commercial Velocity - New Business","61.00","1000","61.0000000000","","AE Nurture","Website","4741000","Non-Profit","Marketing Director","6/30/2021","Ben Rogers","Inbound"
"LBE Design","LBE Design-","Q2-2021","","Commercial Velocity - New Business","64.00","10000","64.0000000000","","Closed Lost","Website","","Home/Personal Products","","6/30/2021","Ben Rogers","Inbound"
"Blueyellow, LLC","March and Ash","Q2-2021","","Commercial Velocity - New Business","65.00","9413","65.0000000000","","AE Nurture","Website","","Retail","Marketing","6/14/2021","Ben Rogers","Inbound"
"Cornbread Hemp","Cornbread Hemp-","Q2-2021","","Commercial Velocity - New Business","74.00","1000","74.0000000000","","Disqualified","Website","","CBD","Co-Founder & CEO","6/30/2021","Ben Rogers","Inbound"
"Little Fox Design, LLC","Little Fox Design, LLC-","Q2-2021","","Commercial Velocity - New Business","81.00","0","81.0000000000","","Disqualified","Website","","Home/Personal Products","","6/30/2021","Ben Rogers","Inbound"
"KOVO Essentials Skincare","KOVO Essentials-","Q2-2021","","Commercial Velocity - New Business","6.00","1000","6.0000000000","","SDR Nurture","SDR Outbound","","CBD","Co- Founder & CRO","6/21/2021","Ben Rogers","Outbound"
"Bimble Beverages","Bimble-","Q2-2021","","Commercial Velocity - New Business","29.00","1000","29.0000000000","","SDR Nurture","SDR Outbound","","Food/Beverage","CEO","6/30/2021","Ben Rogers","Outbound"
"Bombtech Golf","Bombtech Golf-","Q2-2021","","Commercial Velocity - New Business","37.00","1000","37.0000000000","","Closed Lost","SDR Outbound","","Home/Personal Products","Founder","6/30/2021","Ben Rogers","Outbound"
"Dumpling House Media","Weedfeed-","Q2-2021","","Commercial Velocity - New Business","41.00","2000","41.0000000000","","AE Nurture","SDR Outbound","","CBD","Founder | Creative Director","6/30/2021","Ben Rogers","Outbound"
"QOR 360","QOR 360-","Q2-2021","","Commercial Velocity - New Business","47.00","1000","47.0000000000","","SDR Nurture","Employee Referral","","Home/Personal Products","Research Professor","6/30/2021","Ben Rogers","Outbound"
"Potli","Polti-","Q2-2021","","Commercial Velocity - New Business","49.00","1000","49.0000000000","","Disqualified","SDR Outbound","","CBD","Director Marketing","6/18/2021","Ben Rogers","Outbound"
"Thuma Co","Thuma Co-","Q2-2021","","Commercial Velocity - New Business","50.00","1000","50.0000000000","","SDR Nurture","Outbound","","Home/Personal Products","VP - Growth and eCommerce","6/18/2021","Ben Rogers","Outbound"
"Beliv","Beliv","Q2-2021","","Commercial Velocity - New Business","70.00","1000","70.0000000000","","AE Nurture","Outbound","","Food/Beverage","Director for Incubation brands","6/1/2021","Ben Rogers","Outbound"
"Body Restore Inc","Body Restore-","Q2-2021","","Commercial Velocity - New Business","73.00","1000","73.0000000000","","SDR Nurture","SDR Outbound","","Health/Wellness","","6/30/2021","Ben Rogers","Outbound"
"Bimble Beverages","Bimble-","Q2-2021","","Commercial Velocity - New Business","81.00","1000","81.0000000000","","Disqualified","SDR Outbound","","CBD","CEO","6/30/2021","Ben Rogers","Outbound"
"DRNXMYTH","DRNXMYTH-","Q2-2021","","Commercial Velocity - New Business","119.00","7076","119.0000000000","","Closed Won","Outbound","","Food/Beverage","President","6/30/2021","Ben Rogers","Outbound"
"IB Pet","IB Pet-","Q2-2021","","Commercial Velocity - New Business","65.00","0","65.0000000000","","SDR Nurture","Referral Partner","","Pet","Owner","6/30/2021","Brittany Arnold","Channel Partner"
"Goddess Garden","Goddess Garden-","Q2-2021","","Commercial Velocity - New Business","72.00","0","72.0000000000","","SDR Nurture","Referral Partner","","Beauty","VP of Marketing","6/30/2021","Brittany Arnold","Channel Partner"
"Hanging Secrets","Hanging Secrets-","Q2-2021","","Commercial Velocity - New Business","86.00","0","86.0000000000","","Disqualified","Referral Partner","","Home/Personal Products","","6/30/2021","Brittany Arnold","Channel Partner"
"Adelia Skincare","Adelia LLC-","Q2-2021","","Commercial Velocity - New Business","35.00","5000","35.0000000000","","Disqualified","Website","","Beauty","","6/30/2021","Brittany Arnold","Inbound"
"Bold Living Design","Bold Living Design-","Q2-2021","","Commercial Velocity - New Business","42.00","5000","42.0000000000","","Disqualified","Website","","Home Services","","6/30/2021","Brittany Arnold","Inbound"
"Sparkee","Sparkee-","Q2-2021","","Commercial Velocity - New Business","49.00","2000","49.0000000000","","Disqualified","Website","","Beauty","Owner","6/30/2021","Brittany Arnold","Inbound"
"MindBar LLC","MindBar-","Q2-2021","","Commercial Velocity - New Business","54.00","0","54.0000000000","","Disqualified","The Manifest","","Health/Wellness","Founder & CEO","6/30/2021","Brittany Arnold","Inbound"
"Playstories","Playstories-","Q2-2021","","Commercial Velocity - New Business","61.00","11227","61.0000000000","","Closed Lost","Clutch","","Baby","","6/14/2021","Brittany Arnold","Inbound"
"World Beauty Shop? Canada","World Beauty Shop? Canada-","Q2-2021","","Commercial Velocity - New Business","62.00","0","62.0000000000","","Disqualified","Clutch","","Beauty","","6/30/2021","Brittany Arnold","Inbound"
"Michael Todd Beauty","Michael Todd Beauty-","Q2-2021","","Commercial Velocity - New Business","70.00","0","70.0000000000","","AE Nurture","Website","6000000","Beauty","Marketing Manager","6/30/2021","Brittany Arnold","Inbound"
"System Four, LC","System Four, LC-","Q2-2021","","Commercial Velocity - New Business","72.00","0","72.0000000000","","Disqualified","Clutch","","Health/Wellness","","6/30/2021","Brittany Arnold","Inbound"
"Veracity Window & Door","Infinity from Marvin-","Q2-2021","","Commercial Velocity - New Business","72.00","0","72.0000000000","","Disqualified","Website","","Home Services","","6/30/2021","Brittany Arnold","Inbound"
"Ohla! Foods","Ohla! Foods-","Q2-2021","","Commercial Velocity - New Business","82.00","0","82.0000000000","","Disqualified","Internal Marketing","","Food/Beverage","Founder","6/30/2021","Brittany Arnold","Inbound"
"SmartExoticSpices","SmartExoticSpices-","Q2-2021","","Commercial Velocity - New Business","83.00","0","83.0000000000","","Disqualified","Website","10000000","Food/Beverage","","6/30/2021","Brittany Arnold","Inbound"
"Letique","Letique Cosmetics Company-","Q2-2021","","Commercial Velocity - New Business","83.00","0","83.0000000000","","Disqualified","Website","","Beauty","Brand Marketing Manager (WW, East&West)","6/30/2021","Brittany Arnold","Inbound"
"Glass Box","Glass Box-","Q2-2021","","Commercial Velocity - New Business","85.00","0","85.0000000000","","Disqualified","Clutch","","Restaurant","","6/30/2021","Brittany Arnold","Inbound"
"The20","The20-","Q2-2021","","Commercial Velocity - New Business","85.00","0","85.0000000000","","Disqualified","Clutch","","Health/Wellness","","6/30/2021","Brittany Arnold","Inbound"
"Leigh Winters","Leigh Winters Beauty","Q2-2021","","Commercial Velocity - New Business","91.00","19050","91.0000000000","","Closed Won","Website","","Beauty","Founder & CEO","6/11/2021","Brittany Arnold","Inbound"
"Fromm Pro","Fromm Pro","Q2-2021","","Commercial Velocity - New Business","532.00","6500","532.0000000000","","Disqualified","Website","","Beauty","","6/30/2021","Brittany Arnold","Inbound"
"Vitaclean","Vita Clean-","Q2-2021","","Commercial Velocity - New Business","34.00","5000","34.0000000000","","Disqualified","SDR Outbound","","Health/Wellness","Co-Founder","6/30/2021","Brittany Arnold","Outbound"
"Fromm International","Fromm Beauty-","Q2-2021","","Commercial Velocity - New Business","42.00","2000","42.0000000000","","Disqualified","SDR Nurture","8600000","Beauty","","6/30/2021","Brittany Arnold","Outbound"
"LITTLE WORDS PROJECT","Little Words Project-","Q2-2021","","Commercial Velocity - New Business","49.00","2000","49.0000000000","","Disqualified","SDR Outbound","","Apparel","VP of Marketing","6/30/2021","Brittany Arnold","Outbound"
