"Account Name","Opportunity Name","Fiscal Period","Next Step","Type","Deal Velocity","Monthly Deal Value (Gross Profit)","Age","Appraisal Start Date","Stage","Lead Source","Annual Revenue","Industry","Contact: Title","Close Date","Opportunity Owner","Lead Source Category"
"Zen Beverage LLC","Muse - Website Project","Q1-2021","","Commercial Velocity - New Business","63.00","28665","63.0000000000","","Closed Won","Current Client","","","","2/5/2021","Pat Kreidler","Channel Partner"
"Eastpoint Sports Ltd LLC","EastPoint Sports","Q1-2021","","Commercial Velocity - New Business","65.00","10000","65.0000000000","","Closed Lost","Referral Partner","10000000","Retail","","2/10/2021","Pat Kreidler","Channel Partner"
"VIZIO Inc","Vizio","Q1-2021","","Commercial Velocity - New Business","79.00","5000","79.0000000000","","Closed Lost","Website","1000000000","Consumer Electronics","","2/1/2021","Pat Kreidler","Inbound"
"Hilarys Eat Well","Hilary's Eat Well","Q1-2021","","Commercial Velocity - New Business","127.00","4778","127.0000000000","","Closed Won","Website","10000000","Food Production","","2/3/2021","Pat Kreidler","Inbound"
"Cali Bamboo LLC","Cali Bamboo - SEO + CRO RFP","Q1-2021","","Commercial Velocity - New Business","48.00","7500","48.0000000000","","Closed Lost","Employee Referral","50000000","Building Materials","","2/1/2021","Pat Kreidler","Outbound"
"Worky","Worky","Q1-2021","","Commercial Velocity - New Business","79.00","7500","79.0000000000","","Closed Lost","Employee Referral","","","","2/1/2021","Pat Kreidler","Outbound"
"BigSpeak","Big Speak","Q1-2021","","Commercial Velocity - New Business","79.00","1000","79.0000000000","","Closed Lost","Employee Referral","50000000","Events Services","","2/1/2021","Pat Kreidler","Outbound"
"South Chicago Packing","South Chicago Packing - Website & Branding Project Proposal","Q1-2021","","Commercial Velocity - New Business","81.00","35000","81.0000000000","","Closed Lost","Employee Referral","50000000","Food Production","","2/3/2021","Pat Kreidler","Outbound"
"Cobi GmbH","Bosch eBikes","Q1-2021","","Commercial Velocity - New Business","83.00","10000","83.0000000000","","Closed Lost","Employee Referral","10000000","","","2/1/2021","Pat Kreidler","Outbound"
"South Chicago Packing","South Chicago Packing","Q1-2021","","Commercial Velocity - New Business","119.00","14236","119.0000000000","","Closed Lost","Employee Referral","50000000","Food Production","","2/19/2021","Pat Kreidler","Outbound"
"Top Fox Snacks","Top Fox Snacks","Q1-2021","","Commercial Velocity - New Business","182.00","4750","182.0000000000","","Closed Lost","Employee Referral","","","","2/10/2021","Pat Kreidler","Outbound"
"UFC-WME","UFC-WME","Q1-2021","","Private Equity - Marketing Deal","56.00","20000","56.0000000000","","Closed Lost","Outbound","","","","2/1/2021","Pierre Le Veaux","Outbound"
"Moe's Southwest Grill, LLC","Moes Southwest Gril","Q1-2021","","Private Equity - Marketing Deal","101.00","6000","101.0000000000","","Disqualified","Outbound","50000000","Restaurants","","2/4/2021","Pierre Le Veaux","Outbound"
"U Calming","U Calming","Q1-2021","","Brand Strategy - New Business","3.00","40000","3.0000000000","","Disqualified","Referral Partner","","Food/Beverage","","2/8/2021","Sara Brooks","Channel Partner"
"Mantra Labs","Mantra Labs","Q1-2021","","Brand Strategy - New Business","0.00","10000","0.0000000000","","Disqualified","Outbound","","","","2/8/2021","Sara Brooks","Outbound"
"No Ugly","No Ugly","Q1-2021","","Brand Strategy - New Business","172.00","5000","172.0000000000","","Disqualified","SDR Nurture","","","","2/28/2021","Sara Brooks","Outbound"
"GoodHire, LLC","GoodHire","Q1-2021","","Commercial Velocity - New Business","59.00","41803","59.0000000000","","Closed Won","Website","50000000","Computer Software","","2/1/2021","Universal Sales Rep","Inbound"
"Sword Health","Sword Health","Q1-2021","","Commercial Velocity - New Business","68.00","10000","68.0000000000","","Closed Lost","Website","1000000","","","2/1/2021","Universal Sales Rep","Inbound"
"Bufferin","Bufferin","Q1-2021","","Commercial Velocity - New Business","68.00","7166","68.0000000000","","Closed Lost","Covet - Website Lead","","","","2/8/2021","Universal Sales Rep","Inbound"
